Tank,Treatment,Part_Mort,Mort
1A-01,Control,1,1
1A-02,Makusa,0.689678513,0
1A-03,Sediment,1,1
1A-04,WMS,1,1
1A-05,Lesion,1,1
1A-06,WMS_Lesion,1,1
1B-01,WMS,1,1
1B-02,Lesion,1,1
1B-03,WMS_Lesion,1,1
1B-04,Control,1,1
1B-05,Makusa,1,1
1B-06,Sediment,1,1
1C-04,WMS_Lesion,0.295060872,0
1C-05,Control,1,1
1C-06,Makusa,0,0
1C-07,Sediment,1,1
1C-08,WMS,1,1
1C-09,Lesion,1,1
1D-04,Lesion,1,1
1D-05,WMS_Lesion,1,1
1D-06,Control,1,1
1D-07,Makusa,0,0
1D-08,Sediment,1,1
1D-09,WMS,1,1
2C-04,Makusa,0,0
2C-05,Control,1,1
2C-06,WMS_Lesion,0,0
2C-07,Lesion,1,1
2C-08,WMS,1,1
2C-09,Sediment,1,1
2D-04,Control,1,1
2D-05,WMS_Lesion,0.238885594,0
2D-06,Lesion,1,1
2D-07,WMS,0,0
2D-08,Sediment,1,1
2D-09,Makusa,0,0
