Tank,Treatment,Day,Mortality,Mortality_1
1A-01,Control,30,1,0
1A-02,Makusa,21,0,1
1A-03,Sediment,30,1,0
1A-04,WMS,30,1,0
1A-05,Lesion,30,1,0
1A-06,WMS_Lesion,30,1,0
1B-01,WMS,30,1,0
1B-02,Lesion,30,1,0
1B-03,WMS_Lesion,30,1,0
1B-04,Control,30,1,0
1B-05,Makusa,30,1,0
1B-06,Sediment,30,1,0
1C-04,WMS_Lesion,1,0,1
1C-05,Control,30,1,0
1C-06,Makusa,3,0,1
1C-07,Sediment,30,1,0
1C-08,WMS,30,1,0
1C-09,Lesion,30,1,0
1D-04,Lesion,30,1,0
1D-05,WMS_Lesion,30,1,0
1D-06,Control,30,1,0
1D-07,Makusa,6,0,1
1D-08,Sediment,30,1,0
1D-09,WMS,30,1,0
2C-04,Makusa,2,0,1
2C-05,Control,30,1,0
2C-06,WMS_Lesion,1,0,1
2C-07,Lesion,30,1,0
2C-08,WMS,30,1,0
2C-09,Sediment,30,1,0
2D-04,Control,30,1,0
2D-05,WMS_Lesion,1,0,1
2D-06,Lesion,30,1,0
2D-07,WMS,11,0,1
2D-08,Sediment,30,1,0
2D-09,Makusa,5,0,1
